deja profile : 0, a profiler : 9452 (dont 524 sans HTTPS, traites en priorite)
200/9452 (27s)
400/9452 (36s)
600/9452 (39s)
800/9452 (52s)
1000/9452 (65s)
1200/9452 (84s)
1400/9452 (100s)
1600/9452 (119s)
1800/9452 (139s)
2000/9452 (159s)
2200/9452 (179s)
2400/9452 (198s)
2600/9452 (213s)
2800/9452 (226s)
3000/9452 (248s)
3200/9452 (264s)
3400/9452 (282s)
3600/9452 (330s)
3800/9452 (330s)
4000/9452 (337s)
4200/9452 (354s)
4400/9452 (378s)
4600/9452 (399s)
4800/9452 (414s)
5000/9452 (463s)
5200/9452 (464s)
5400/9452 (464s)
5600/9452 (482s)
5800/9452 (499s)
6000/9452 (517s)
6200/9452 (534s)
6400/9452 (546s)
6600/9452 (561s)
6800/9452 (607s)
7000/9452 (607s)
7200/9452 (615s)
7400/9452 (636s)
7600/9452 (651s)
7800/9452 (672s)
8000/9452 (691s)
8200/9452 (702s)
8400/9452 (747s)
8600/9452 (748s)
8800/9452 (749s)
9000/9452 (763s)
9200/9452 (782s)
9400/9452 (798s)
TERMINE : 9452 sites profiles
