domaine	nom	niche	ville	dept	nb_etablissements	url_brute
100.biborne.com	100% Crousti	restauration	Paris	75	1	https://100.biborne.com
1001-pates.com	Mille et une Pâtes	restauration	Toulouse	31	1	https://www.1001-pates.com/
1001fenetres.com	1001 Fenêtres	artisanat_btp	Lyon	69	1	https://1001fenetres.com
100x100tacos.fr	100% Tacos	restauration	Nice	6	1	https://100x100tacos.fr/
108bae.fr	108 Bae	restauration	Lyon	69	1	https://www.108bae.fr/contact
109grenelle.fr	109 Grenelle - Paris 7ème	beaute_bienetre	Paris	75	1	http://109grenelle.fr/
10lafontaine.free.fr	10, La Fontaine	beaute_bienetre	Paris	75	1	http://10lafontaine.free.fr/
112-hair-coiffure-visagiste-createur-rouen.business.site	112 Hai'r	beaute_bienetre	Rouen	76	1	https://112-hair-coiffure-visagiste-createur-rouen.business.site
120c.fr	120°C	restauration	Marseille	13	1	https://www.120c.fr
123parebrise.fr	123 Pare-Brise	automobile	Rouen	76	2	https://www.123parebrise.fr/centre-rouen-grand-quevilly/
123pizzanice.com	1-2-3 Pizza	restauration	Nice	6	1	https://www.123pizzanice.com/
13beaute.com	13 Espace beauté	beaute_bienetre	Paris	75	1	https://13beaute.com/
160-food.com	160 Food	restauration	Lyon	69	1	https://160-food.com/
17th-barbers.com	17th Barbers	beaute_bienetre	Paris	75	1	https://www.17th-barbers.com
1ere-avenue-hair-salon.business.site	1ère Avenue	beaute_bienetre	Lyon	69	1	https://1ere-avenue-hair-salon.business.site/
1fauriel.fr	1Fauriel	beaute_bienetre	Saint-Etienne	42	1	https://www.1fauriel.fr/
1velo.com	1vélo	services_proximite	Marseille	13	1	https://www.1velo.com
21paysans.com	21 Paysans	restauration	Nice	6	1	https://21paysans.com/
22ruedeverneuil.com	22 rue de Verneuil	beaute_bienetre	Paris	75	1	https://www.22ruedeverneuil.com
231-east.fr	231 East Street	restauration	Bordeaux	33	3	https://www.231-east.fr/restaurant/231-east-street-bassin-a-flot/
2bpeinture.fr	2B Peinture	artisanat_btp	Caen	14	1	https://2bpeinture.fr/
2et3roues.com	2 et 3 roues	services_proximite	Paris	75	1	https://www.2et3roues.com
2nd-face.com	Second Face	beaute_bienetre	Lyon	69	1	https://2nd-face.com
2pieds2mains.com	2 PIEDS 2 MAINS	beaute_bienetre	Paris	75	1	https://www.2pieds2mains.com/
2rouesvertes.fr	2 Roues Vertes	services_proximite	Toulouse	31	1	https://www.2rouesvertes.fr/
2thstreetbarber.com	2th Street Barber	beaute_bienetre	Paris	75	1	https://www.2thstreetbarber.com/
31streetburgers.com	31 STREET	restauration	Paris	75	1	31streetburgers.com
350barber.fr	350 Barber	beaute_bienetre	Paris	75	1	https://350barber.fr
360thcupavenue.fr	360th cup avenue	beaute_bienetre	Nantes	44	1	https://www.360thcupavenue.fr/
3brasseurs.com	Les 3 Brasseurs	restauration	Toulouse	31	1	https://www.3brasseurs.com
3dhaircut.fr	3D Haircut	beaute_bienetre	Paris	75	1	https://www.3dhaircut.fr/nos-salons-1/bastille/
3dinfomac.com	3D Informatique	services_proximite	Paris	75	1	https://www.3dinfomac.com/prenez-rendez-vous
3mbarber-antony.fr	3M Barber	beaute_bienetre	Paris	75	1	https://3mbarber-antony.fr
3rcycles.fr	3R Cycles	services_proximite	Paris	75	1	https://www.3rcycles.fr/
49r-lille.com	49R	restauration	Lille	59	1	https://49r-lille.com/
4evaguecafe.fr	4e Vague Café - Spécialités Hawaïennes	restauration	Bordeaux	33	1	https://www.4evaguecafe.fr/
5-saveurs.ojscafe.com	5 Saveurs	restauration	Bordeaux	33	1	https://5-saveurs.ojscafe.com/
500degres-pizza.com	500 Degrés Pizza	restauration	Marseille	13	1	https://500degres-pizza.com/
54thai.fr	54 THAI	restauration	Lille	59	1	https://54thai.fr/
585-restaurant.com	585	restauration	Bordeaux	33	1	https://585-restaurant.com/
5asec.fr	5àsec	services_proximite	Paris	75	3	https://www.5asec.fr/trouvez-votre-pressing-5asec/ile-de-france/paris/pressing-paris-pinel
5ed6d527e2986.site123.me	The Royale Coiffure	beaute_bienetre	Paris	75	1	https://5ed6d527e2986.site123.me
5thavenueby.com	5th Avenue	beaute_bienetre	Nantes	44	1	https://www.5thavenueby.com
66218e0c2c7a4.site123.me	Pizza Bella Das	restauration	Paris	75	1	https://66218e0c2c7a4.site123.me/
67parebrise.com	A Plus Glass	automobile	Strasbourg	67	1	https://www.67parebrise.com/
6eme-avenue.com	BMW 6ème Avenue	automobile	Lyon	69	1	https://6eme-avenue.com/
92-tacos.business.site	92 Tacos	restauration	Paris	75	1	https://92-tacos.business.site/
961beyrouth.com	961 Beyrouth	restauration	Bordeaux	33	1	https://www.961beyrouth.com/
9hspa.fr	9h Spa	beaute_bienetre	Toulouse	31	2	https://www.9hspa.fr/
9pho.fr	9Pho	restauration	Paris	75	1	https://9pho.fr/restaurants-livraison-a-domicile-commande-en-ligne-chinois-japonais-pizza-oughour-coucou-concepte.html?
a-graffin.com	A. Graffin	artisanat_btp	Paris	75	1	http://a-graffin.com/
a-linstinct.odoo.com	A L'Instinct	restauration	Montpellier	34	1	https://a-linstinct.odoo.com/
a-marque-tailledepierre.fr	Marbrerie Taille de pierre	artisanat_btp	Marseille	13	1	http://www.a-marque-tailledepierre.fr/
a-s-metaux.webnode.fr	As Métaux	artisanat_btp	Marseille	13	1	https://a-s-metaux.webnode.fr
a2b-electricien.fr	A2B Électricien	artisanat_btp	Paris	75	1	https://a2b-electricien.fr/
a2m-menuiserie.com	A2M Menuiserie	artisanat_btp	Rennes	35	1	http://www.a2m-menuiserie.com/contact.php
aajt.fr	K'Fete du Monde	restauration	Marseille	13	1	http://aajt.fr/AAJT/index.php?p=k_fete_des_mondes
aap57.fr	Accueil Auto Pièces 57	automobile	Metz	57	1	https://www.aap57.fr
abc-plomberie-13.fr	AADD Plombier Marseille d'Urgence	artisanat_btp	Marseille	13	1	https://abc-plomberie-13.fr
abcablage.site-solocal.com	ABcablage	artisanat_btp	Toulouse	31	1	https://abcablage.site-solocal.com
abers-etancheite.fr	Abers Etanchéité	artisanat_btp	Brest	29	1	https://www.abers-etancheite.fr/
abfermetures.com	AB Fermetures	artisanat_btp	Dijon	21	1	https://abfermetures.com/
abianpaysbasque.fr	Abian Pays basque	automobile	Bayonne	64	1	https://abianpaysbasque.fr/
aborigin.fr	Aborigin	beaute_bienetre	Toulouse	31	1	https://www.aborigin.fr/
abrisun-fermetures.com	Abrisun Fermetures	artisanat_btp	Dijon	21	1	https://www.abrisun-fermetures.com/
abuelorestaurant.fr	Abuelo	restauration	Toulouse	31	1	https://www.abuelorestaurant.fr/
abuteghinna.fr	A Buteghinna	restauration	Nice	6	1	https://www.abuteghinna.fr/
ac-54.fr	AC 54	automobile	Nancy	54	1	https://www.ac-54.fr/
acaiandyou.com	Açai & You	restauration	Paris	75	1	https://acaiandyou.com/
acairestaurant.com	açai	restauration	Toulouse	31	1	https://www.acairestaurant.com/
acantina-comptoircorse.fr	A Cantina Comptoir Corse	restauration	Bordeaux	33	1	https://www.acantina-comptoircorse.fr
acclean-lavomatic.fr	Salon Lavoir Pressing GTI	services_proximite	Toulouse	31	1	https://www.acclean-lavomatic.fr/gti-laverie-rangueil-toulouse-ac-clean/
accord-bien-etre.com	Accord Bien Être	beaute_bienetre	Toulouse	31	1	http://accord-bien-etre.com/
acd-carrosserie.fr	ACD Carrosserie	automobile	Lyon	69	1	https://acd-carrosserie.fr/
achat-or-toulouse.fr	Victoria Baby	beaute_bienetre	Toulouse	31	1	https://www.achat-or-toulouse.fr/
achat-vente-auto69.fr	Deluxe Auto 69	automobile	Lyon	69	1	https://www.achat-vente-auto69.fr/
acrocspizza.com	A Crocs Pizza	restauration	Toulouse	31	1	https://www.acrocspizza.com
actifs.fr	Sn actifs	artisanat_btp	Paris	75	1	http://www.actifs.fr/
action-automobile-betton.fr	Top Lavage	automobile	Rennes	35	2	http://www.action-automobile-betton.fr
ad-auto.fr	Garage Gongot	automobile	Rennes	35	1	https://www.ad-auto.fr/garage/garage-ad-gongot/
ad-neoparts.com	Autodistribution neoparts	automobile	Nimes	30	1	https://www.ad-neoparts.com/
ad-poidslourds-ile-de-france-pl.autodistribution.fr	AD Poids Lourds	automobile	Reims	51	1	https://ad-poidslourds-ile-de-france-pl.autodistribution.fr/point-de-vente/ad-poids-lourds-ile-de-france-reims
ad.fr	Carosserie JAS	automobile	Lyon	69	11	https://www.ad.fr/garage/ad-carrosserie-garage-jas
addict-cycling.com	Addict Cycling	services_proximite	Paris	75	1	www.addict-cycling.com
addictcoiffure.fr	Addict	beaute_bienetre	Toulouse	31	1	https://www.addictcoiffure.fr/
addiscar.fr	Addis Car Metz	automobile	Metz	57	1	https://addiscar.fr
addisson-electricite.com	Addisson Électricité	artisanat_btp	Paris	75	1	https://www.addisson-electricite.com/
adembellir.fr	AD Embellir	artisanat_btp	Paris	75	1	https://www.adembellir.fr/
aden-44.fr	Aden	automobile	Nantes	44	1	https://www.aden-44.fr
adeppaca.com	A Dep Paca 06/76	artisanat_btp	Nice	6	1	https://www.adeppaca.com/
adequation-climatisation.com	Adéquation Climatisation	artisanat_btp	Toulouse	31	1	https://adequation-climatisation.com/
aderanshaircenter.fr	Aderans Hair Center	beaute_bienetre	Lyon	69	1	https://aderanshaircenter.fr
ades-sav.fr	Ades Sav	services_proximite	Lyon	69	1	https://www.ades-sav.fr/
adfalexandre.com	ADF Alexandre	artisanat_btp	Paris	75	1	https://adfalexandre.com/
adgoprolorraine.multimarque.fr	AD GO PRO LORRAINE	automobile	Nancy	54	1	https://adgoprolorraine.multimarque.fr/
adhocpneu.fr	Ad’hocpneu	automobile	Avignon	84	1	https://www.adhocpneu.fr
adifs92.fr	ADIFS	artisanat_btp	Paris	75	1	https://www.adifs92.fr/
adoboloco.fr	Adobo Loco	restauration	Lille	59	1	https://www.adoboloco.fr/
adomplus.fr	Adom +	services_proximite	Rennes	35	1	https://adomplus.fr/
adonis-restaurant.fr	Adonis	restauration	Bordeaux	33	1	https://adonis-restaurant.fr/
adonysresto.com	Adonys	restauration	Lyon	69	1	https://adonysresto.com
adour-auto-64.com	Adour garage 64	automobile	Bayonne	64	1	http://www.adour-auto-64.com/mecanique-automobile-adour-auto-64/
adr.fr	Garage du Pot	automobile	Montpellier	34	1	www.adr.fr
adrenaline-ee.com	Adrénaline	artisanat_btp	Paris	75	1	https://adrenaline-ee.com/nos-agences/
advaitamassages42.com	Advaïta Renaître à Soi	beaute_bienetre	Saint-Etienne	42	1	https://www.advaitamassages42.com/
ae-maquillage.com	Institut Audrey Ebeyer	beaute_bienetre	Lyon	69	1	https://ae-maquillage.com
aef-fenetres.com	AEF	artisanat_btp	Paris	75	1	https://www.aef-fenetres.com/
aeroporthotel.com	Le Prince d’Aragon	restauration	Montpellier	34	1	https://aeroporthotel.com/restaurant
aeroscopia.fr	Le Restaurant Aéroscopia	restauration	Toulouse	31	1	https://www.aeroscopia.fr/restaurant
aesthe.com	aesthé	beaute_bienetre	Paris	75	1	https://aesthe.com
affinitebeaute.com	Affinité Beauté	beaute_bienetre	Paris	75	1	http://affinitebeaute.com
afii-isolation.fr	Afii Isolation	artisanat_btp	Orleans	45	1	https://www.afii-isolation.fr/
afondgaston.fr	À Fond Gaston	services_proximite	Lyon	69	1	https://afondgaston.fr/
afp-autos-sas.fr	AFP Autos	automobile	Metz	57	1	https://www.afp-autos-sas.fr
africallfood.com	Afri Call Food	restauration	Paris	75	1	https://africallfood.com
afro-naturel.com	Crazy Pouss	beaute_bienetre	Paris	75	1	https://www.afro-naturel.com
