site_web;nom;region;dept;cp;design;tourisme;anciennete;non_responsif;sans_https;techno;signaux_design
manhattanpizza-versailles.com;Pizzeria Manathan;Ile-de-France;78;78000;25;5;8;oui;non;—;<center> | non responsive | pas de flex/grid
lerecamier.com;Le Récamier;Ile-de-France;75;75007;25;5;0;non;non;drupal 10 (https://www.drupal.org);pas de @media | pas de flex/grid | pas de variables CSS | aucun radius/ombre
african-evasion-pontault.fr;African Evasion;Ile-de-France;77;77340;25;4;8;oui;non;—;<center> | non responsive | pas de flex/grid
allopizza94.com;Allo Pizza 94;Ile-de-France;94;94000;25;4;0;non;non;—;pas de @media | pas de flex/grid | pas de variables CSS | aucun radius/ombre
restaurantdiwali.fr;Diwali;Ile-de-France;92;92500;25;4;0;non;non;—;<br> en masse | pas de @media | pas de flex/grid | pas de variables CSS
vousrestaurant.wordpress.com;Vous;Ile-de-France;78;78000;23;5;3;oui;non;wordpress.com;pas de @media | CSS tres court (247B) | aucun radius/ombre
letagine.fr;Le Tagine;Ile-de-France;75;75011;22;5;2;non;non;—;pas de @media | pas de flex/grid | pas de variables CSS
resto-unico.com;Unico;Ile-de-France;75;75011;22;5;0;non;non;—;pas de @media | pas de flex/grid | pas de variables CSS
restaurantpertinence.com;Pertinence;Ile-de-France;75;75007;22;5;3;non;non;wordpress 4.8.29;WordPress 4 | pas de @media
restaurant-lacantina-paris.fr;La Cantina;Ile-de-France;75;75016;20;5;5;oui;oui;—;sans doctype | non responsive
royalvendome.com;Royal Vendôme;Ile-de-France;75;75002;20;5;0;non;non;—;sans doctype | non responsive
alcazar.fr;Le Restaurant Alcazar;Ile-de-France;75;75006;19;5;3;oui;non;—;non responsive | police vintage
chope-moi.fr;Chope-Moi;Ile-de-France;75;75018;19;5;3;oui;non;—;non responsive | police vintage
cedars.fr;Cedars;Ile-de-France;75;75019;18;5;3;oui;non;—;non responsive | images .gif
pantobaguette.fr;Pantobaguette;Ile-de-France;75;75018;18;5;2;non;non;—;<marquee> | pas de flex/grid | pas de variables CSS | aucun radius/ombre
sushi-hiroshi.com;Sushi Hiroshi;Ile-de-France;75;75011;18;5;3;oui;non;—;non responsive | <br> en masse
aname.fr;Aname;Ile-de-France;75;75018;17;5;0;non;non;wix.com website builder;pas de @media | pas de variables CSS
sarahlima.com;Sarah Lima Traiteur Brésilien;Ile-de-France;78;78990;17;5;3;oui;non;wix.com website builder;pas de @media | pas de variables CSS
a-lepicerie.com;À l'Épicerie;Ile-de-France;75;75017;17;5;0;non;non;"elementor 3.35.6; features: additional_custom_breakpoints; s";pas de @media | pas de variables CSS
niepceparis.com;La Verrière Paris;Ile-de-France;75;75014;17;5;0;non;non;wordpress 6.6.2;layout en tableaux (3) | <br> en masse
