site_web;nom_restaurant;ville;code_postal;score_anciennete;non_responsive;sans_https;techno;copyright;indices_anciennete
http://lesalondevauban.fr;Salon de Vauban;;;11;oui;oui;microsoft frontpage 4.0;2025;constructeur obsolète | balises désuètes: <font>,bgcolor | non responsive | pas de HTTPS
http://restaurantmogador.free.fr;Mogador;;;10;oui;oui;editplus;2012;balises désuètes: <center>,bgcolor | non responsive | pas de HTTPS | copyright 2012
http://restaurantlecalife.free.fr;Le Calife;;;10;oui;oui;—;2018;balises désuètes: <font>,bgcolor | non responsive | pas de HTTPS | copyright 2018
http://paradice.fr;Le Paradice;;;10;oui;oui;lmsoft web creator pro, version:8.0.0.22;2005;balises désuètes: <font> | non responsive | pas de HTTPS | copyright 2005
http://issytokyo.fr;Issy Tokyo;;;10;oui;oui;—;1999;balises désuètes: <font> | non responsive | pas de HTTPS | copyright 1999
http://le.pont.de.thorey.free.fr;Restaurant du Pont de Thorey;;;10;oui;oui;izispot 4.20 (www.izispot.com);2008;balises désuètes: <font>,bgcolor | non responsive | pas de HTTPS | copyright 2008
http://anatolie-durum.fr;Anatolie Dürüm;;;10;non;oui;wordpress 5.4.20;2020;WordPress 5 | balises désuètes: <font> | pas de HTTPS | copyright 2020
http://rossini.pizzeria.free.fr;Rossini;;;10;oui;oui;incomedia website x5 evolution evolution 8.0.9 - www.website;2009;balises désuètes: <center> | non responsive | pas de HTTPS | copyright 2009
http://aubergedestours.free.fr;Auberge des Tours;;;10;oui;oui;—;2010;balises désuètes: bgcolor | non responsive | pas de HTTPS | copyright 2010
http://prixfixe.net;Prix Fixe;;;10;oui;oui;—;2019;balises désuètes: bgcolor | non responsive | pas de HTTPS | copyright 2019
http://ya-souvlaki.com;Ya Souvlaki;;;10;oui;oui;—;2015;balises désuètes: <font>,bgcolor | non responsive | pas de HTTPS | copyright 2015
http://pizzalezard.com;Pizza Lezard;;;10;oui;oui;—;1999;balises désuètes: <font>,<center>,bgcolor | non responsive | pas de HTTPS | copyright 1999
http://mercadante.free.fr;Le Mercadante;;;8;oui;oui;microsoft frontpage express 2.0;—;constructeur obsolète | non responsive | pas de HTTPS
http://lagaletiere.free.fr;La Galétière;;;8;oui;oui;—;—;balises désuètes: <font>,bgcolor | non responsive | pas de HTTPS
http://denboerenweg.free.fr;Estaminet den Boeren Weg;;;8;oui;oui;namo webeditor v5.0;—;balises désuètes: bgcolor | non responsive | pas de HTTPS
http://sushi-nagoya.fr/;Nagoya Sushi;;;8;oui;oui;—;2022;balises désuètes: bgcolor | non responsive | pas de HTTPS
http://christophe.boitrand.free.fr;L'Amaryllis;;;8;oui;oui;—;2026;balises désuètes: <center> | non responsive | pas de HTTPS
http://delices-du-sommelier.fr;Les Délices du Sommelier;;;8;oui;oui;—;—;balises désuètes: <font> | non responsive | pas de HTTPS
https://www.le-dominion.fr/;Le Dominion;;;8;oui;non;—;2019;balises désuètes: <center> | non responsive | copyright 2019
https://pizza-dimario.fr;Pizza Di Mario;;;8;oui;non;—;2019;balises désuètes: <center> | non responsive | copyright 2019
https://bagatellelerestaurant.fr;Les Jardins de Bagatelle;;;8;non;non;wordpress 4.9.30;2020;WordPress 4 | balises désuètes: <center> | copyright 2020
https://www.vertmont.fr/;Auberge du Vert Mont;;;8;oui;non;wordpress 4.9.27;2019;WordPress 4 | non responsive | copyright 2019
https://pizzafiesta.fr;Pizza Fiesta;;;8;oui;non;—;2015;balises désuètes: <font>,<center> | non responsive | copyright 2015
http://sushimarche.fr;Sushi Gourmet;;;8;oui;oui;joomla! - open source content management;2026;Joomla | non responsive | pas de HTTPS
https://african-evasion-pontault.fr;African Evasion;;;8;oui;non;—;2018;balises désuètes: <center> | non responsive | copyright 2018
https://pizzerialepacha.fr;Le Pacha;;;8;oui;non;—;2020;balises désuètes: <center> | non responsive | copyright 2020
https://resto-pinocchio.fr;Le Pinocchio;;;8;oui;non;notepad ++;2020;balises désuètes: <center> | non responsive | copyright 2020
http://tanguy-crepes.fr;Tanguy;;;8;oui;oui;—;—;balises désuètes: frameset | non responsive | pas de HTTPS
http://zazai.fr;Zazaï;;;8;oui;oui;—;—;balises désuètes: bgcolor | non responsive | pas de HTTPS
http://leptitbouchon.fr/;Le P'tit Bouchon;;;8;oui;oui;—;—;balises désuètes: frameset | non responsive | pas de HTTPS
http://aurelaisdanje.fr;Au Relais d'Anje;;;8;oui;oui;—;2023;balises désuètes: <font>,<center> | non responsive | pas de HTTPS
http://obuffet-angouleme.fr;O' Buffet;;;8;oui;oui;—;—;balises désuètes: frameset | non responsive | pas de HTTPS
http://labohemia.fr;La Bohémia;;;8;oui;oui;—;—;balises désuètes: <font> | non responsive | pas de HTTPS
http://www.alafraite.com/;Domaine de la Fraite;;;8;oui;oui;—;2026;balises désuètes: <font> | non responsive | pas de HTTPS
